id	age
1	3.161036322
2	9.06692068
3	9.744641421
4	4.770513706
5	7.023881102
6	6.647065583
7	4.402721894
8	4.620238827
9	6.990420664
10	7.562757628
11	6.767264706
12	6.709682029
13	7.812780011
14	3.869099893
15	7.886289003
16	6.77973112
17	5.576109265
18	6.829612262
19	6.71562947
20	4.908594776
21	7.458914009
22	3.58590759
23	0.665040772
24	7.760145798
25	3.088389127
26	4.296600465
27	7.129286188
28	5.100028835
29	5.358908314
30	5.189578974
31	5.022739458
32	4.205655743
33	3.76305154
34	7.950775739
35	9.17425138
36	2.697746929
37	5.291373048
38	6.510260016
39	6.694240092
40	4.961906801
41	8.39772077
42	6.172712513
43	6.633747818
44	1.895034418
45	2.900422236
46	4.714703338
47	5.949722548
48	3.176116422
49	6.894227447
50	7.306948853

